photo_id,photo_url,total_score,useful,useful_text
34,http://static.panoramio.com/photos/original/81452231.jpg,0.4,1,yes
35,http://static.panoramio.com/photos/original/18887683.jpg,1,1,yes
36,http://static.panoramio.com/photos/original/123226.jpg,0.6,1,yes
37,http://static.panoramio.com/photos/original/22596905.jpg,1,1,yes
38,http://static.panoramio.com/photos/original/18492251.jpg,0.8,1,yes
39,http://static.panoramio.com/photos/original/26702384.jpg,0.6,1,yes
40,http://static.panoramio.com/photos/original/24110522.jpg,1,1,yes
41,http://static.panoramio.com/photos/original/4755956.jpg,1,1,yes
42,http://static.panoramio.com/photos/original/14395847.jpg,0.8,1,yes
43,http://static.panoramio.com/photos/original/49398103.jpg,0,0,maybe
44,http://static.panoramio.com/photos/original/24474142.jpg,1,1,yes
45,http://static.panoramio.com/photos/original/10962511.jpg,0.2,0,maybe
46,http://static.panoramio.com/photos/original/60492487.jpg,0.6,1,yes
47,http://static.panoramio.com/photos/original/66131418.jpg,-1,-1,no
48,http://static.panoramio.com/photos/original/56869828.jpg,1,1,yes
49,http://static.panoramio.com/photos/original/61385857.jpg,0.8,1,yes
50,http://static.panoramio.com/photos/original/56962599.jpg,1,1,yes
51,http://static.panoramio.com/photos/original/27700325.jpg,-0.2,0,maybe
52,http://static.panoramio.com/photos/original/17933438.jpg,1,1,yes
53,http://static.panoramio.com/photos/original/89826613.jpg,1,1,yes
54,http://static.panoramio.com/photos/original/63789927.jpg,-1,-1,no
55,http://static.panoramio.com/photos/original/61356355.jpg,0.6,1,yes
56,http://static.panoramio.com/photos/original/66703356.jpg,0.8,1,yes
57,http://static.panoramio.com/photos/original/80755627.jpg,1,1,yes
58,http://static.panoramio.com/photos/original/103234438.jpg,0.8,1,yes
59,http://static.panoramio.com/photos/original/101500605.jpg,0.6,1,yes
60,http://static.panoramio.com/photos/original/101899039.jpg,1,1,yes
61,http://static.panoramio.com/photos/original/107599769.jpg,1,1,yes
62,http://static.panoramio.com/photos/original/86510513.jpg,0.8,1,yes
63,http://static.panoramio.com/photos/original/49730702.jpg,0.6,1,yes
64,http://static.panoramio.com/photos/original/74626744.jpg,0.8,1,yes
65,http://static.panoramio.com/photos/original/23095393.jpg,0.6,1,yes
66,http://static.panoramio.com/photos/original/36627300.jpg,0.8,1,yes
67,http://static.panoramio.com/photos/original/66985610.jpg,1,1,yes
68,http://static.panoramio.com/photos/original/94624183.jpg,0.6,1,yes
69,http://static.panoramio.com/photos/original/18973347.jpg,1,1,yes
70,http://static.panoramio.com/photos/original/13159805.jpg,0.8,1,yes
71,http://static.panoramio.com/photos/original/24658147.jpg,0.4,1,yes
72,http://static.panoramio.com/photos/original/79861962.jpg,0.4,1,yes
73,http://static.panoramio.com/photos/original/65516831.jpg,0.6,1,yes
74,http://static.panoramio.com/photos/original/42584576.jpg,1,1,yes
75,http://static.panoramio.com/photos/original/3927949.jpg,0.6,1,yes
76,http://static.panoramio.com/photos/original/10796738.jpg,0.4,1,yes
77,http://static.panoramio.com/photos/original/40646392.jpg,-1,-1,no
78,http://static.panoramio.com/photos/original/69594517.jpg,1,1,yes
79,http://static.panoramio.com/photos/original/65734501.jpg,1,1,yes
80,http://static.panoramio.com/photos/original/91836662.jpg,1,1,yes
81,http://static.panoramio.com/photos/original/92148742.jpg,0.8,1,yes
82,http://static.panoramio.com/photos/original/94681809.jpg,1,1,yes
83,http://static.panoramio.com/photos/original/1484067.jpg,1,1,yes
84,http://static.panoramio.com/photos/original/1434620.jpg,-0.2,0,maybe
85,http://static.panoramio.com/photos/original/96531669.jpg,1,1,yes
86,http://static.panoramio.com/photos/original/37603891.jpg,1,1,yes
87,http://static.panoramio.com/photos/original/60261903.jpg,0.2,0,maybe
88,http://static.panoramio.com/photos/original/51049738.jpg,0.2,0,maybe
89,http://static.panoramio.com/photos/original/26794763.jpg,-1,-1,no
90,http://static.panoramio.com/photos/original/24768487.jpg,1,1,yes
91,http://static.panoramio.com/photos/original/55040294.jpg,1,1,yes
92,http://static.panoramio.com/photos/original/2000632.jpg,-0.8,-1,no
93,http://static.panoramio.com/photos/original/91977332.jpg,0.6,1,yes
94,http://static.panoramio.com/photos/original/65851669.jpg,1,1,yes
95,http://static.panoramio.com/photos/original/72390047.jpg,1,1,yes
96,http://static.panoramio.com/photos/original/6238595.jpg,1,1,yes
97,http://static.panoramio.com/photos/original/8163344.jpg,0.4,1,yes
98,http://static.panoramio.com/photos/original/3010847.jpg,1,1,yes
99,http://static.panoramio.com/photos/original/2795655.jpg,1,1,yes
100,http://static.panoramio.com/photos/original/18631718.jpg,0.6,1,yes
101,http://static.panoramio.com/photos/original/2272042.jpg,1,1,yes
102,http://static.panoramio.com/photos/original/2066044.jpg,0,0,maybe
103,http://static.panoramio.com/photos/original/11261398.jpg,1,1,yes
104,http://static.panoramio.com/photos/original/751795.jpg,0.8,1,yes
105,http://static.panoramio.com/photos/original/119352.jpg,1,1,yes
106,http://static.panoramio.com/photos/original/40521860.jpg,1,1,yes
107,http://static.panoramio.com/photos/original/28438395.jpg,0.2,0,maybe
108,http://static.panoramio.com/photos/original/37582454.jpg,0.4,1,yes
109,http://static.panoramio.com/photos/original/63850468.jpg,-0.2,0,maybe
110,http://static.panoramio.com/photos/original/27570500.jpg,1,1,yes
111,http://static.panoramio.com/photos/original/27399902.jpg,0,0,maybe
112,http://static.panoramio.com/photos/original/71531858.jpg,0,0,maybe
113,http://static.panoramio.com/photos/original/23213871.jpg,0,0,maybe
114,http://static.panoramio.com/photos/original/48731464.jpg,-1,-1,no
115,http://static.panoramio.com/photos/original/65359575.jpg,1,1,yes
116,http://static.panoramio.com/photos/original/72034862.jpg,-0.2,0,maybe
117,http://static.panoramio.com/photos/original/49664567.jpg,-0.2,0,maybe
118,http://static.panoramio.com/photos/original/325089.jpg,1,1,yes
119,http://static.panoramio.com/photos/original/82089227.jpg,0.4,1,yes
120,http://static.panoramio.com/photos/original/30439738.jpg,1,1,yes
121,http://static.panoramio.com/photos/original/635203.jpg,1,1,yes
122,http://static.panoramio.com/photos/original/51409515.jpg,-0.2,0,maybe
123,http://static.panoramio.com/photos/original/10660519.jpg,0.8,1,yes
124,http://static.panoramio.com/photos/original/456609.jpg,1,1,yes
125,http://static.panoramio.com/photos/original/5635848.jpg,-0.8,-1,no
126,http://static.panoramio.com/photos/original/16174576.jpg,1,1,yes
127,http://static.panoramio.com/photos/original/7471558.jpg,-0.2,0,maybe
128,http://static.panoramio.com/photos/original/7967061.jpg,0.2,0,maybe
129,http://static.panoramio.com/photos/original/106206186.jpg,0.8,1,yes
130,http://static.panoramio.com/photos/original/10907313.jpg,1,1,yes
131,http://static.panoramio.com/photos/original/29774246.jpg,0,0,maybe
132,http://static.panoramio.com/photos/original/1591528.jpg,1,1,yes
133,http://static.panoramio.com/photos/original/104951209.jpg,1,1,yes
134,http://static.panoramio.com/photos/original/22584029.jpg,0,0,maybe
135,http://static.panoramio.com/photos/original/52935862.jpg,0.6,1,yes
136,http://static.panoramio.com/photos/original/22108119.jpg,0.2,0,maybe
137,http://static.panoramio.com/photos/original/28372692.jpg,0,0,maybe
138,http://static.panoramio.com/photos/original/9204069.jpg,1,1,yes
139,http://static.panoramio.com/photos/original/4837290.jpg,0,0,maybe
140,http://static.panoramio.com/photos/original/14547964.jpg,0,0,maybe
141,http://static.panoramio.com/photos/original/43976407.jpg,1,1,yes
142,http://static.panoramio.com/photos/original/9907113.jpg,-0.4,-1,no
143,http://static.panoramio.com/photos/original/75758062.jpg,0.4,1,yes
144,http://static.panoramio.com/photos/original/61392274.jpg,0.6,1,yes
145,http://static.panoramio.com/photos/original/47002140.jpg,0.6,1,yes
146,http://static.panoramio.com/photos/original/22687482.jpg,1,1,yes
147,http://static.panoramio.com/photos/original/76883129.jpg,1,1,yes
148,http://static.panoramio.com/photos/original/83613460.jpg,1,1,yes
149,http://static.panoramio.com/photos/original/36768329.jpg,0.8,1,yes
150,http://static.panoramio.com/photos/original/42204081.jpg,1,1,yes
151,http://static.panoramio.com/photos/original/77333819.jpg,0.8,1,yes
152,http://static.panoramio.com/photos/original/30018175.jpg,1,1,yes
153,http://static.panoramio.com/photos/original/29751167.jpg,0,0,maybe
154,http://static.panoramio.com/photos/original/46384315.jpg,0,0,maybe
155,http://static.panoramio.com/photos/original/27566784.jpg,0,0,maybe
156,http://static.panoramio.com/photos/original/21630962.jpg,-0.2,0,maybe
157,http://static.panoramio.com/photos/original/64975441.jpg,0.8,1,yes
158,http://static.panoramio.com/photos/original/23231975.jpg,1,1,yes
159,http://static.panoramio.com/photos/original/18154360.jpg,0.2,0,maybe
160,http://static.panoramio.com/photos/original/9025894.jpg,0,0,maybe
161,http://static.panoramio.com/photos/original/52870201.jpg,0,0,maybe
162,http://static.panoramio.com/photos/original/64968512.jpg,1,1,yes
163,http://static.panoramio.com/photos/original/86175498.jpg,0.8,1,yes
164,http://static.panoramio.com/photos/original/73878655.jpg,1,1,yes
165,http://static.panoramio.com/photos/original/76034660.jpg,0.2,0,maybe
166,http://static.panoramio.com/photos/original/14546825.jpg,1,1,yes
167,http://static.panoramio.com/photos/original/80068071.jpg,0.6,1,yes
168,http://static.panoramio.com/photos/original/93211868.jpg,1,1,yes
169,http://static.panoramio.com/photos/original/69667454.jpg,-0.4,-1,no
170,http://static.panoramio.com/photos/original/100689378.jpg,1,1,yes
171,http://static.panoramio.com/photos/original/100620563.jpg,0,0,maybe
172,http://static.panoramio.com/photos/original/20173576.jpg,0.2,0,maybe
173,http://static.panoramio.com/photos/original/77808973.jpg,0.8,1,yes
174,http://static.panoramio.com/photos/original/72133132.jpg,0.2,0,maybe
175,http://static.panoramio.com/photos/original/88939701.jpg,1,1,yes
176,http://static.panoramio.com/photos/original/61240278.jpg,1,1,yes
177,http://static.panoramio.com/photos/original/20446640.jpg,0.2,0,maybe
178,http://static.panoramio.com/photos/original/5291728.jpg,1,1,yes
179,http://static.panoramio.com/photos/original/90928072.jpg,-0.8,-1,no
180,http://static.panoramio.com/photos/original/94608457.jpg,-0.8,-1,no
181,http://static.panoramio.com/photos/original/103045364.jpg,1,1,yes
182,http://static.panoramio.com/photos/original/49221565.jpg,0.8,1,yes
183,http://static.panoramio.com/photos/original/17316619.jpg,0,0,maybe
184,http://static.panoramio.com/photos/original/62903828.jpg,-0.2,0,maybe
185,http://static.panoramio.com/photos/original/50683599.jpg,-0.6,-1,no
186,http://static.panoramio.com/photos/original/34487631.jpg,0.6,1,yes
187,http://static.panoramio.com/photos/original/71056624.jpg,1,1,yes
188,http://static.panoramio.com/photos/original/65146561.jpg,1,1,yes
189,http://static.panoramio.com/photos/original/70461300.jpg,-0.6,-1,no
190,http://static.panoramio.com/photos/original/97791547.jpg,1,1,yes
191,http://static.panoramio.com/photos/original/2477504.jpg,0.2,0,maybe
192,http://static.panoramio.com/photos/original/64447304.jpg,0.4,1,yes
193,http://static.panoramio.com/photos/original/77763606.jpg,-1,-1,no
194,http://static.panoramio.com/photos/original/13074863.jpg,-0.6,-1,no
195,http://static.panoramio.com/photos/original/51609725.jpg,0,0,maybe
196,http://static.panoramio.com/photos/original/65993339.jpg,1,1,yes
197,http://static.panoramio.com/photos/original/41768518.jpg,1,1,yes
198,http://static.panoramio.com/photos/original/60636210.jpg,0.6,1,yes
199,http://static.panoramio.com/photos/original/81591671.jpg,1,1,yes
200,http://static.panoramio.com/photos/original/87048595.jpg,0.2,0,maybe
201,http://static.panoramio.com/photos/original/93269647.jpg,1,1,yes
202,http://static.panoramio.com/photos/original/29257056.jpg,1,1,yes
203,http://static.panoramio.com/photos/original/10786571.jpg,0.8,1,yes
204,http://static.panoramio.com/photos/original/9087155.jpg,1,1,yes
205,http://static.panoramio.com/photos/original/78266820.jpg,0.2,0,maybe
206,http://static.panoramio.com/photos/original/482012.jpg,-1,-1,no
207,http://static.panoramio.com/photos/original/20184885.jpg,0,0,maybe
208,http://static.panoramio.com/photos/original/102840298.jpg,0,0,maybe
209,http://static.panoramio.com/photos/original/58986614.jpg,-1,-1,no
210,http://static.panoramio.com/photos/original/19231965.jpg,0.2,0,maybe
211,http://static.panoramio.com/photos/original/58222870.jpg,0,0,maybe
212,http://static.panoramio.com/photos/original/96359649.jpg,0.8,1,yes
213,http://static.panoramio.com/photos/original/65993291.jpg,-0.6,-1,no
214,http://static.panoramio.com/photos/original/89192047.jpg,-0.8,-1,no
215,http://static.panoramio.com/photos/original/107901074.jpg,0.6,1,yes
216,http://static.panoramio.com/photos/original/29184859.jpg,-1,-1,no
217,http://static.panoramio.com/photos/original/48742339.jpg,-0.6,-1,no
218,http://static.panoramio.com/photos/original/77633552.jpg,1,1,yes
219,http://static.panoramio.com/photos/original/4110554.jpg,1,1,yes
220,http://static.panoramio.com/photos/original/7232401.jpg,-1,-1,no
221,http://static.panoramio.com/photos/original/53144443.jpg,0.2,0,maybe
222,http://static.panoramio.com/photos/original/5235230.jpg,-1,-1,no
223,http://static.panoramio.com/photos/original/59722157.jpg,0.4,1,yes
224,http://static.panoramio.com/photos/original/56084024.jpg,0,0,maybe
225,http://static.panoramio.com/photos/original/58243527.jpg,-1,-1,no
226,http://static.panoramio.com/photos/original/50280286.jpg,-0.2,0,maybe
227,http://static.panoramio.com/photos/original/28979862.jpg,1,1,yes
228,http://static.panoramio.com/photos/original/62674161.jpg,-1,-1,no
229,http://static.panoramio.com/photos/original/3985146.jpg,0.4,1,yes
230,http://static.panoramio.com/photos/original/4771824.jpg,1,1,yes
231,http://static.panoramio.com/photos/original/27507788.jpg,1,1,yes
232,http://static.panoramio.com/photos/original/38123793.jpg,1,1,yes
233,http://static.panoramio.com/photos/original/11937095.jpg,0.8,1,yes
234,http://static.panoramio.com/photos/original/68714994.jpg,1,1,yes
235,http://static.panoramio.com/photos/original/10701712.jpg,0.4,1,yes
236,http://static.panoramio.com/photos/original/37582735.jpg,1,1,yes
237,http://static.panoramio.com/photos/original/32184610.jpg,1,1,yes
238,http://static.panoramio.com/photos/original/43250097.jpg,1,1,yes
239,http://static.panoramio.com/photos/original/16117940.jpg,0.2,0,maybe
240,http://static.panoramio.com/photos/original/80930989.jpg,0.2,0,maybe
241,http://static.panoramio.com/photos/original/60444425.jpg,1,1,yes
242,http://static.panoramio.com/photos/original/18540521.jpg,1,1,yes
243,http://static.panoramio.com/photos/original/37599820.jpg,0.8,1,yes
244,http://static.panoramio.com/photos/original/21657666.jpg,0.2,0,maybe
245,http://static.panoramio.com/photos/original/90779742.jpg,1,1,yes
246,http://static.panoramio.com/photos/original/105395501.jpg,1,1,yes
247,http://static.panoramio.com/photos/original/45252782.jpg,-0.2,0,maybe
248,http://static.panoramio.com/photos/original/747706.jpg,0.8,1,yes
249,http://static.panoramio.com/photos/original/16979304.jpg,1,1,yes
250,http://static.panoramio.com/photos/original/840679.jpg,0.2,0,maybe
251,http://static.panoramio.com/photos/original/51887106.jpg,-0.8,-1,no
252,http://static.panoramio.com/photos/original/90515395.jpg,1,1,yes
253,http://static.panoramio.com/photos/original/8255996.jpg,0,0,maybe
254,http://static.panoramio.com/photos/original/55218969.jpg,0,0,maybe
255,http://static.panoramio.com/photos/original/10839867.jpg,0.2,0,maybe
256,http://static.panoramio.com/photos/original/32806829.jpg,1,1,yes
257,http://static.panoramio.com/photos/original/71528945.jpg,0.4,1,yes
258,http://static.panoramio.com/photos/original/29572996.jpg,-0.6,-1,no
259,http://static.panoramio.com/photos/original/43895228.jpg,1,1,yes
260,http://static.panoramio.com/photos/original/78341542.jpg,-0.8,-1,no
261,http://static.panoramio.com/photos/original/21977033.jpg,1,1,yes
262,http://static.panoramio.com/photos/original/29192194.jpg,1,1,yes
263,http://static.panoramio.com/photos/original/32334759.jpg,1,1,yes
264,http://static.panoramio.com/photos/original/34774473.jpg,0.8,1,yes
265,http://static.panoramio.com/photos/original/78611168.jpg,0.2,0,maybe
266,http://static.panoramio.com/photos/original/38288369.jpg,-0.4,-1,no
267,http://static.panoramio.com/photos/original/29152229.jpg,0.2,0,maybe
268,http://static.panoramio.com/photos/original/22388606.jpg,0,0,maybe
269,http://static.panoramio.com/photos/original/62007477.jpg,0.2,0,maybe
270,http://static.panoramio.com/photos/original/74457114.jpg,1,1,yes
271,http://static.panoramio.com/photos/original/40208809.jpg,-0.8,-1,no
272,http://static.panoramio.com/photos/original/65148561.jpg,1,1,yes
273,http://static.panoramio.com/photos/original/2309735.jpg,1,1,yes
274,http://static.panoramio.com/photos/original/5925130.jpg,-1,-1,no
275,http://static.panoramio.com/photos/original/72448956.jpg,-1,-1,no
276,http://static.panoramio.com/photos/original/30477848.jpg,0,0,maybe
277,http://static.panoramio.com/photos/original/22067451.jpg,1,1,yes
278,http://static.panoramio.com/photos/original/22107245.jpg,1,1,yes
279,http://static.panoramio.com/photos/original/33196529.jpg,0.8,1,yes
280,http://static.panoramio.com/photos/original/77807314.jpg,1,1,yes
281,http://static.panoramio.com/photos/original/46628242.jpg,1,1,yes
282,http://static.panoramio.com/photos/original/96656378.jpg,-0.6,-1,no
283,http://static.panoramio.com/photos/original/32080665.jpg,0,0,maybe
284,http://static.panoramio.com/photos/original/26844737.jpg,-0.2,0,maybe
285,http://static.panoramio.com/photos/original/45827157.jpg,1,1,yes
286,http://static.panoramio.com/photos/original/20195346.jpg,1,1,yes
287,http://static.panoramio.com/photos/original/23453792.jpg,1,1,yes
288,http://static.panoramio.com/photos/original/4857335.jpg,0.2,0,maybe
289,http://static.panoramio.com/photos/original/23876159.jpg,1,1,yes
290,http://static.panoramio.com/photos/original/38632507.jpg,0.2,0,maybe
291,http://static.panoramio.com/photos/original/63365874.jpg,0.6,1,yes
292,http://static.panoramio.com/photos/original/102823379.jpg,1,1,yes
293,http://static.panoramio.com/photos/original/5996054.jpg,0.6,1,yes
294,http://static.panoramio.com/photos/original/14202303.jpg,1,1,yes
295,http://static.panoramio.com/photos/original/34240182.jpg,1,1,yes
296,http://static.panoramio.com/photos/original/65280779.jpg,0,0,maybe
297,http://static.panoramio.com/photos/original/75841191.jpg,0.6,1,yes
298,http://static.panoramio.com/photos/original/100707794.jpg,0.6,1,yes
299,http://static.panoramio.com/photos/original/23422479.jpg,-1,-1,no
300,http://static.panoramio.com/photos/original/66718948.jpg,0.6,1,yes
301,http://static.panoramio.com/photos/original/34610201.jpg,-1,-1,no
302,http://static.panoramio.com/photos/original/92201939.jpg,0.6,1,yes
303,http://static.panoramio.com/photos/original/107816948.jpg,-1,-1,no
304,http://static.panoramio.com/photos/original/3113004.jpg,1,1,yes
305,http://static.panoramio.com/photos/original/1304231.jpg,-0.2,0,maybe
306,http://static.panoramio.com/photos/original/43404924.jpg,1,1,yes
307,http://static.panoramio.com/photos/original/15509023.jpg,1,1,yes
308,http://static.panoramio.com/photos/original/3336651.jpg,1,1,yes
309,http://static.panoramio.com/photos/original/9120828.jpg,0.8,1,yes
310,http://static.panoramio.com/photos/original/19929488.jpg,0.8,1,yes
311,http://static.panoramio.com/photos/original/2149405.jpg,0.2,0,maybe
312,http://static.panoramio.com/photos/original/28235131.jpg,1,1,yes
313,http://static.panoramio.com/photos/original/89152040.jpg,1,1,yes
314,http://static.panoramio.com/photos/original/69068844.jpg,1,1,yes
315,http://static.panoramio.com/photos/original/75784746.jpg,1,1,yes
316,http://static.panoramio.com/photos/original/34244163.jpg,1,1,yes
317,http://static.panoramio.com/photos/original/24897612.jpg,1,1,yes
318,http://static.panoramio.com/photos/original/107245186.jpg,1,1,yes
319,http://static.panoramio.com/photos/original/1018006.jpg,1,1,yes
320,http://static.panoramio.com/photos/original/50105043.jpg,0.4,1,yes
321,http://static.panoramio.com/photos/original/6787610.jpg,1,1,yes
322,http://static.panoramio.com/photos/original/63471237.jpg,0,0,maybe
323,http://static.panoramio.com/photos/original/30023172.jpg,0,0,maybe
324,http://static.panoramio.com/photos/original/747063.jpg,1,1,yes
325,http://static.panoramio.com/photos/original/1629832.jpg,0.2,0,maybe
326,http://static.panoramio.com/photos/original/2087336.jpg,1,1,yes
327,http://static.panoramio.com/photos/original/12406971.jpg,1,1,yes
328,http://static.panoramio.com/photos/original/10067131.jpg,-0.2,0,maybe
329,http://static.panoramio.com/photos/original/4771623.jpg,0,0,maybe
330,http://static.panoramio.com/photos/original/21612768.jpg,0.2,0,maybe
331,http://static.panoramio.com/photos/original/62535991.jpg,0,0,maybe
332,http://static.panoramio.com/photos/original/1336105.jpg,0.8,1,yes
333,http://static.panoramio.com/photos/original/18287443.jpg,0,0,maybe
334,http://static.panoramio.com/photos/original/17095408.jpg,0.2,0,maybe
335,http://static.panoramio.com/photos/original/3148176.jpg,0,0,maybe
336,http://static.panoramio.com/photos/original/51246307.jpg,0.4,1,yes
337,http://static.panoramio.com/photos/original/66644726.jpg,-1,-1,no
338,http://static.panoramio.com/photos/original/86374188.jpg,-1,-1,no
339,http://static.panoramio.com/photos/original/90200959.jpg,-0.2,0,maybe
340,http://static.panoramio.com/photos/original/26806397.jpg,-0.2,0,maybe
341,http://static.panoramio.com/photos/original/48730542.jpg,-0.8,-1,no
342,http://static.panoramio.com/photos/original/4755753.jpg,1,1,yes
343,http://static.panoramio.com/photos/original/21830804.jpg,0.6,1,yes
344,http://static.panoramio.com/photos/original/48731075.jpg,-0.8,-1,no
345,http://static.panoramio.com/photos/original/70027835.jpg,0.2,0,maybe
346,http://static.panoramio.com/photos/original/78510129.jpg,0.4,1,yes
347,http://static.panoramio.com/photos/original/59881991.jpg,1,1,yes
348,http://static.panoramio.com/photos/original/90889813.jpg,0.6,1,yes
349,http://static.panoramio.com/photos/original/56517333.jpg,0,0,maybe
350,http://static.panoramio.com/photos/original/28832042.jpg,-1,-1,no
351,http://static.panoramio.com/photos/original/101748561.jpg,1,1,yes
352,http://static.panoramio.com/photos/original/94433218.jpg,0.8,1,yes
353,http://static.panoramio.com/photos/original/94433178.jpg,0.8,1,yes
354,http://static.panoramio.com/photos/original/71864532.jpg,0.6,1,yes
355,http://static.panoramio.com/photos/original/36932140.jpg,-0.6,-1,no
356,http://static.panoramio.com/photos/original/4591753.jpg,0,0,maybe
357,http://static.panoramio.com/photos/original/6444391.jpg,0.4,1,yes
358,http://static.panoramio.com/photos/original/41821289.jpg,0.8,1,yes
359,http://static.panoramio.com/photos/original/105485295.jpg,1,1,yes
360,http://static.panoramio.com/photos/original/35319623.jpg,0,0,maybe
361,http://static.panoramio.com/photos/original/95974727.jpg,-1,-1,no
362,http://static.panoramio.com/photos/original/6298475.jpg,0,0,maybe
363,http://static.panoramio.com/photos/original/2033751.jpg,0.6,1,yes
364,http://static.panoramio.com/photos/original/18887790.jpg,0.6,1,yes
365,http://static.panoramio.com/photos/original/7349646.jpg,-0.2,0,maybe
366,http://static.panoramio.com/photos/original/1747498.jpg,1,1,yes
367,http://static.panoramio.com/photos/original/49698145.jpg,0.2,0,maybe
368,http://static.panoramio.com/photos/original/62893258.jpg,1,1,yes
369,http://static.panoramio.com/photos/original/65011563.jpg,1,1,yes
370,http://static.panoramio.com/photos/original/24234179.jpg,0.4,1,yes
371,http://static.panoramio.com/photos/original/5762522.jpg,0.2,0,maybe
372,http://static.panoramio.com/photos/original/10571316.jpg,0,0,maybe
373,http://static.panoramio.com/photos/original/102693315.jpg,0.2,0,maybe
374,http://static.panoramio.com/photos/original/56893430.jpg,0.4,1,yes
375,http://static.panoramio.com/photos/original/66787484.jpg,1,1,yes
376,http://static.panoramio.com/photos/original/83348072.jpg,0.6,1,yes
377,http://static.panoramio.com/photos/original/16619948.jpg,1,1,yes
378,http://static.panoramio.com/photos/original/105931659.jpg,0.2,0,maybe
379,http://static.panoramio.com/photos/original/93284363.jpg,1,1,yes
380,http://static.panoramio.com/photos/original/62878720.jpg,1,1,yes
381,http://static.panoramio.com/photos/original/5837665.jpg,-0.2,0,maybe
382,http://static.panoramio.com/photos/original/4616397.jpg,0.8,1,yes
383,http://static.panoramio.com/photos/original/10470392.jpg,0.8,1,yes
384,http://static.panoramio.com/photos/original/18885896.jpg,1,1,yes
385,http://static.panoramio.com/photos/original/81791307.jpg,1,1,yes
386,http://static.panoramio.com/photos/original/97868472.jpg,0,0,maybe
387,http://static.panoramio.com/photos/original/73027.jpg,1,1,yes
388,http://static.panoramio.com/photos/original/47569896.jpg,0.8,1,yes
389,http://static.panoramio.com/photos/original/83539251.jpg,-0.6,-1,no
390,http://static.panoramio.com/photos/original/2243848.jpg,0.4,1,yes
391,http://static.panoramio.com/photos/original/16045056.jpg,-0.2,0,maybe
392,http://static.panoramio.com/photos/original/34574512.jpg,0.8,1,yes
393,http://static.panoramio.com/photos/original/43546864.jpg,0.8,1,yes
394,http://static.panoramio.com/photos/original/37770833.jpg,0.8,1,yes
395,http://static.panoramio.com/photos/original/12507184.jpg,1,1,yes
396,http://static.panoramio.com/photos/original/19363055.jpg,1,1,yes
397,http://static.panoramio.com/photos/original/40685063.jpg,1,1,yes
398,http://static.panoramio.com/photos/original/36307758.jpg,1,1,yes
399,http://static.panoramio.com/photos/original/34555904.jpg,1,1,yes
400,http://static.panoramio.com/photos/original/64174650.jpg,1,1,yes
401,http://static.panoramio.com/photos/original/50814992.jpg,1,1,yes
402,http://static.panoramio.com/photos/original/37025872.jpg,0.8,1,yes
403,http://static.panoramio.com/photos/original/98574815.jpg,0.8,1,yes
404,http://static.panoramio.com/photos/original/14726888.jpg,1,1,yes
405,http://static.panoramio.com/photos/original/71213190.jpg,0.8,1,yes
406,http://static.panoramio.com/photos/original/635121.jpg,1,1,yes
407,http://static.panoramio.com/photos/original/101014430.jpg,-1,-1,no
